what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1296816559023
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1296816559164
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1296816559242
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1296816559476
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296816562741
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296816622687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296816629936
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296816634295
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296816636810
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1296816640606
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1296816640622
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1296816640622
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1296816640637
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1296816640637
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1296816640637
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1296816640653
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1296816640653
stopped,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1296816640669
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1296816640669
